year,cdc_week,site,total_mosquitoes,trap_date,week_start,temp_avg_f,temp_max_f,temp_min_f,rh_avg,wind_avg_mph,precip_in
2023,41,HAR001-EX,0.0,2023-10-11,2023-10-09,66.29,88.0,46.0,30.17,5.31,0.0
2020,23,HAR002,2.0,2020-06-03,2020-06-01,82.0,103.0,61.0,17.6,9.17,0.01
2018,32,HIL001,54.0,2018-08-09,2018-08-06,88.14,107.0,67.0,26.12,6.96,0.13
2020,32,HIL001,3.0,2020-08-05,2020-08-03,86.29,104.0,66.0,11.15,7.09,0.0
2018,23,HIL002,68.0,2018-06-07,2018-06-04,83.71,103.0,67.0,11.06,9.74,0.0
2018,25,HIL002,34.0,2018-06-21,2018-06-18,86.0,106.0,63.0,12.23,7.69,0.0
2018,27,HIL002,37.0,2018-07-06,2018-07-02,90.71,108.0,73.0,16.33,9.23,0.01
2019,25,HIL002,20.0,2019-06-20,2019-06-17,79.49,99.0,57.0,24.11,8.11,0.01
2019,29,HIL002,29.0,2019-07-18,2019-07-15,88.14,107.0,70.0,14.48,7.39,0.0
2019,32,HIL002,42.0,2019-08-08,2019-08-05,88.64,107.0,74.0,29.96,9.1,0.0
2019,34,HIL002,21.0,2019-08-22,2019-08-19,85.43,104.0,68.0,15.05,5.87,0.0
2020,29,HIL002,9.0,2020-07-14,2020-07-13,91.29,109.0,72.0,14.58,7.94,0.0
2021,22,HIL002,2.0,2021-05-28,2021-05-24,75.71,95.0,52.0,12.2,6.24,0.0
2021,31,HIL002,10.0,2021-07-29,2021-07-26,84.43,102.0,70.0,50.97,6.57,0.0
2022,24,HIL002,1.0,2022-06-15,2022-06-13,81.43,106.0,62.0,11.75,11.51,0.0
2022,25,HIL002,0.0,2022-06-21,2022-06-20,83.14,103.0,57.0,17.12,7.33,0.01
2022,29,HIL002,2.0,2022-07-20,2022-07-18,93.57,110.0,79.0,23.5,8.01,0.03
2022,34,HIL002,96.0,2022-08-24,2022-08-22,85.86,103.0,69.0,37.01,5.5,0.47
2023,33,HIL002,31.0,2023-08-17,2023-08-14,82.57,101.0,65.0,50.17,6.24,0.21
2024,25,HIL002,87.0,2024-06-20,2024-06-17,84.86,106.0,63.0,14.44,8.46,0.0
2024,31,HIL002,52.0,2024-07-31,2024-07-29,89.29,106.0,69.0,19.72,6.89,0.01
2025,26,HIL002,13.0,2025-06-25,2025-06-23,82.86,102.0,64.0,12.5,6.21,0.0
2020,34,HILDALE SR,0.0,2020-08-19,2020-08-17,92.43,111.0,70.0,21.14,6.49,0.04
2021,41,HUR0002,20.0,2021-10-05,2021-10-04,67.0,88.0,49.0,56.54,5.14,0.01
2018,14,HUR002,0.0,2018-04-05,2018-04-02,65.14,86.0,42.0,28.12,7.03,0.21
2018,15,HUR002,0.0,2018-04-12,2018-04-09,63.46,89.0,41.0,20.22,10.2,0.0
2018,16,HUR002,1.0,2018-04-19,2018-04-16,61.57,85.0,40.0,25.9,10.43,0.07
2018,17,HUR002,3.0,2018-04-26,2018-04-23,73.43,93.0,52.0,15.46,8.84,0.0
2018,19,HUR002,2.0,2018-05-10,2018-05-07,75.57,98.0,53.0,17.85,8.4,0.0
2018,20,HUR002,1.0,2018-05-17,2018-05-14,73.29,91.0,56.0,18.36,8.04,0.0
2018,21,HUR002,7.0,2018-05-23,2018-05-21,74.29,93.0,56.0,21.16,8.79,0.02
2018,22,HUR002,3.0,2018-05-31,2018-05-28,79.71,100.0,59.0,17.46,8.91,0.0
2018,23,HUR002,7.0,2018-06-07,2018-06-04,83.71,103.0,67.0,11.06,9.74,0.0
2018,24,HUR002,2.0,2018-06-14,2018-06-11,85.0,104.0,66.0,17.22,10.77,0.0
2018,25,HUR002,0.0,2018-06-21,2018-06-18,86.0,106.0,63.0,12.23,7.69,0.0
2018,26,HUR002,0.0,2018-06-28,2018-06-25,87.97,105.0,69.0,10.63,8.06,0.0
2018,27,HUR002,0.0,2018-07-06,2018-07-02,90.71,108.0,73.0,16.33,9.23,0.01
2018,28,HUR002,9.0,2018-07-12,2018-07-09,86.43,105.0,69.0,49.03,7.43,0.04
2018,29,HUR002,0.0,2018-07-19,2018-07-16,89.71,106.0,71.0,39.86,8.12,0.01
2018,30,HUR002,9.0,2018-07-27,2018-07-23,93.43,110.0,76.0,24.21,7.73,0.0
2018,31,HUR002,2.0,2018-08-02,2018-07-30,90.68,107.0,71.0,31.48,7.53,0.3
2018,32,HUR002,1.0,2018-08-09,2018-08-06,88.14,107.0,67.0,26.12,6.96,0.13
2018,33,HUR002,1.0,2018-08-16,2018-08-13,88.28,105.0,70.0,32.05,7.08,0.02
2018,35,HUR002,33.0,2018-08-30,2018-08-27,82.6,98.0,63.0,20.41,5.97,0.0
2020,35,HUR002,1.0,2020-08-26,2020-08-24,88.14,105.0,68.0,24.84,6.4,0.0
2021,38,HUR002,65.0,2021-09-16,2021-09-13,79.71,100.0,60.0,26.2,5.8,0.01
2021,39,HUR002,55.0,2021-09-22,2021-09-20,76.43,94.0,56.0,21.3,5.19,0.0
2022,21,HUR002,0.0,2022-05-24,2022-05-23,77.71,100.0,55.0,13.06,9.49,0.0
2018,14,HUR007,0.0,2018-04-05,2018-04-02,65.14,86.0,42.0,28.12,7.03,0.21
2018,15,HUR007,0.0,2018-04-12,2018-04-09,63.46,89.0,41.0,20.22,10.2,0.0
2018,16,HUR007,0.0,2018-04-19,2018-04-16,61.57,85.0,40.0,25.9,10.43,0.07
2018,17,HUR007,0.0,2018-04-26,2018-04-23,73.43,93.0,52.0,15.46,8.84,0.0
2018,19,HUR007,0.0,2018-05-10,2018-05-07,75.57,98.0,53.0,17.85,8.4,0.0
2018,20,HUR007,0.0,2018-05-17,2018-05-14,73.29,91.0,56.0,18.36,8.04,0.0
2018,21,HUR007,3.0,2018-05-23,2018-05-21,74.29,93.0,56.0,21.16,8.79,0.02
2018,22,HUR007,2.0,2018-05-31,2018-05-28,79.71,100.0,59.0,17.46,8.91,0.0
2018,23,HUR007,0.0,2018-06-07,2018-06-04,83.71,103.0,67.0,11.06,9.74,0.0
2018,24,HUR007,3.0,2018-06-14,2018-06-11,85.0,104.0,66.0,17.22,10.77,0.0
2018,25,HUR007,0.0,2018-06-21,2018-06-18,86.0,106.0,63.0,12.23,7.69,0.0
2018,26,HUR007,0.0,2018-06-28,2018-06-25,87.97,105.0,69.0,10.63,8.06,0.0
2018,27,HUR007,2.0,2018-07-06,2018-07-02,90.71,108.0,73.0,16.33,9.23,0.01
2018,28,HUR007,43.0,2018-07-12,2018-07-09,86.43,105.0,69.0,49.03,7.43,0.04
2018,29,HUR007,133.0,2018-07-19,2018-07-16,89.71,106.0,71.0,39.86,8.12,0.01
2018,30,HUR007,2.0,2018-07-27,2018-07-23,93.43,110.0,76.0,24.21,7.73,0.0
2018,31,HUR007,5.0,2018-08-02,2018-07-30,90.68,107.0,71.0,31.48,7.53,0.3
2018,32,HUR007,4.0,2018-08-09,2018-08-06,88.14,107.0,67.0,26.12,6.96,0.13
2018,33,HUR007,5.0,2018-08-16,2018-08-13,88.28,105.0,70.0,32.05,7.08,0.02
2018,35,HUR007,38.0,2018-08-30,2018-08-27,82.6,98.0,63.0,20.41,5.97,0.0
2018,36,HUR007,0.0,2018-09-06,2018-09-03,82.29,101.0,66.0,30.0,5.73,0.14
2018,37,HUR007,10.0,2018-09-12,2018-09-10,83.06,99.0,63.0,16.28,8.08,0.0
2018,38,HUR007,7.0,2018-09-19,2018-09-17,79.86,97.0,60.0,21.28,5.79,0.0
2018,39,HUR007,3.0,2018-09-26,2018-09-24,78.29,94.0,57.0,18.37,6.69,0.0
2019,20,HUR007,3.0,2019-05-15,2019-05-13,66.43,89.0,44.0,37.1,8.59,0.05
2019,23,HUR007,2.0,2019-06-05,2019-06-03,79.1,98.0,60.0,22.42,8.93,0.0
2019,24,HUR007,3.0,2019-06-13,2019-06-10,82.74,103.0,61.0,19.82,6.11,0.03
2019,25,HUR007,2.0,2019-06-19,2019-06-17,79.49,99.0,57.0,24.11,8.11,0.01
2019,26,HUR007,6.0,2019-06-27,2019-06-24,83.11,100.0,63.0,15.7,8.24,0.01
2019,27,HUR007,9.0,2019-07-03,2019-07-01,84.14,101.0,66.0,14.45,7.61,0.0
2019,28,HUR007,0.0,2019-07-10,2019-07-08,87.71,106.0,68.0,18.12,7.13,0.01
2019,29,HUR007,0.0,2019-07-17,2019-07-15,88.14,107.0,70.0,14.48,7.39,0.0
2019,30,HUR007,0.0,2019-07-24,2019-07-22,89.64,106.0,70.0,29.3,6.67,0.02
2019,31,HUR007,5.0,2019-07-31,2019-07-29,89.44,107.0,69.0,29.18,6.86,0.03
2019,32,HUR007,14.0,2019-08-07,2019-08-05,88.64,107.0,74.0,29.96,9.1,0.0
2019,33,HUR007,2.0,2019-08-14,2019-08-12,88.17,105.0,69.0,12.19,5.71,0.0
2019,34,HUR007,3.0,2019-08-21,2019-08-19,85.43,104.0,68.0,15.05,5.87,0.0
